titulo;resumo;tema;fonte;tempo_leitura;url;uuid
Read what a Chinese officer wrote of D-Day in his diary salvaged in Hong Kong;The captain of the giant Royal Navy battleship called his officers together to give them a first morsel of one of World War II’s most closely guarded secrets: Prepare yourselves, he said, for “an extremely important task.”  The secret was D-Day — the June 6, 1944, invasion of Nazi-occupied France with the world’s largest-ever sea, land and air armada.  The diary writer was Lam Ping-yu — a Chinese officer who crossed the world with two dozen comrades-in-arms from China to train and serve with All;World;Associated Press;5 min read;https://news.yahoo.com/news/articles/lost-d-day-diary-reveals-021751334.html;28d031ea-35d9-38e4-a2af-7e0af3dbe81d
A Mysterious Idol Just Emerged From the Earth. It May Show the Face of a Forgotten God.;The unidentified stone idol appeared in the earth as archaeologists excavated an ancient fortress in present-day Armenia.;World;Popular Mechanics;4 min read;https://news.yahoo.com/news/articles/mysterious-idol-just-emerged-earth-120000476.html;c3f1e82f-7771-305b-804c-80bd781778eb
Health officials issue warning as dangerous disease reaches 'endemic levels': 'It's not if you're going to get it, it's when';It may lead to serious complications.;Health;The Cool Down;3 min read;https://news.yahoo.com/news/articles/health-officials-issue-warning-dangerous-033000389.html;2d441ab3-1f6b-3542-8105-7a84c595b344
Syria's Sharaa tells Putin at Kremlin meeting he will respect all past deals with Moscow;MOSCOW (Reuters) -Syrian President Ahmed al-Sharaa told Russian President Vladimir Putin on Wednesday he would honour all past deals struck between his country and Moscow, a pledge suggesting Moscow's two main military bases in Syria are safe.  Sharaa, who once headed the Syrian branch of al Qaeda and who toppled predecessor Bashar al-Assad, a close Russian ally,  late last year, was speaking at the start of Kremlin talks with Putin, his first visit to Russia since coming to power.;World;Reuters;3 min read;https://news.yahoo.com/news/articles/syrias-sharaa-tells-putin-kremlin-124054331.html;49485017-60a1-3a59-9984-561aaf4bd0d2
70% of people who have a near-death experience make this change — even more than getting a divorce;"""My NDE was considerable,"" one participant reported. ""I know I’ll never be the same person ever, so ongoing reflection and inner work are needed daily.""";Health;NY Post;3 min read;https://news.yahoo.com/news/articles/70-people-near-death-experience-204901063.html;e71765c4-207e-3e40-915f-83840a57986d
